protocol,metric,method,tau,method_mean,baseline_mean,delta,rel_pct
A,MacroF1,ELR,0.0,0.31271911858645296,0.43883701999857916,-0.1261179014121262,-28.73912082725713
A,MacroF1,ELR,0.1,0.20052492637765346,0.1965507567706384,0.003974169607015049,2.021955891857816
A,MacroF1,ELR,0.2,0.17763201276680196,0.18342607972821595,-0.005794066961413991,-3.1588021561596427
A,MacroF1,ELR,0.3,0.15917808301225528,0.16221068942016198,-0.0030326064079067017,-1.8695478200277988
A,MacroF1,ELR,0.4,0.1327937904351551,0.1417246432948684,-0.00893085285971329,-6.301552540253711
A,MacroF1,ELR,0.5,0.11511528468712698,0.12845593445603534,-0.013340649768908364,-10.385389998057478
A,MacroF1,AsyCo,0.0,0.27218162110899874,0.43883701999857916,-0.16665539888958042,-37.97660436444491
A,MacroF1,AsyCo,0.1,0.18271148163405745,0.1965507567706384,-0.013839275136580953,-7.041069372594918
A,MacroF1,AsyCo,0.2,0.17170794913123683,0.18342607972821595,-0.011718130596979126,-6.388475736025097
A,MacroF1,AsyCo,0.3,0.1368937376835822,0.16221068942016198,-0.025316951736579774,-15.607449686008795
A,MacroF1,AsyCo,0.4,0.1323935060548154,0.1417246432948684,-0.009331137240052995,-6.583990633611183
A,MacroF1,AsyCo,0.5,0.11220634588296041,0.12845593445603534,-0.01624958857307493,-12.649932166922524
A,MacroAUC,SCE,0.0,0.938875704994971,0.9004541817985323,0.038421523196438656,4.26690485458094
A,MacroAUC,SCE,0.1,0.8768951323504138,0.8414051906471084,0.03548994170330544,4.217937100674505
A,MacroAUC,SCE,0.2,0.8601246801729566,0.821349634197437,0.03877504597551962,4.72089404573824
A,MacroAUC,SCE,0.3,0.8372152233085759,0.8154688993958608,0.021746323912715138,2.666726337304326
A,MacroAUC,SCE,0.4,0.8112635381134723,0.7978153164340347,0.0134482216794376,1.6856309226484412
A,MacroAUC,SCE,0.5,0.7979844305458621,0.790169895576789,0.00781453496907314,0.9889689562734955
A,MacroAUC,ELR,0.0,0.860198148670378,0.9004541817985323,-0.04025603312815429,-4.470636478998681
A,MacroAUC,ELR,0.1,0.831618070465527,0.8414051906471084,-0.009787120181581344,-1.1631875213479796
A,MacroAUC,ELR,0.2,0.8127883993864499,0.821349634197437,-0.00856123481098714,-1.0423374473591327
A,MacroAUC,ELR,0.3,0.8005512733111493,0.8154688993958608,-0.014917626084711477,-1.8293310873980828
