protocol,method,tau,true_class,pred_class,count,rate
S,SCE,0.0,vasc,df,2.0,0.02040816326530612
S,SCE,0.0,df,nv,4.0,0.0547945205479452
S,SCE,0.0,df,bkl,5.0,0.0684931506849315
S,SCE,0.0,df,mel,4.0,0.0547945205479452
S,SCE,0.0,df,bcc,12.0,0.1643835616438356
S,SCE,0.0,df,akiec,6.0,0.0821917808219178
S,SCE,0.0,df,vasc,1.0,0.0136986301369863
S,SCE,0.0,df,df,41.0,0.5616438356164384
S,SCE,0.1,nv,nv,3052.0,0.5648713677586527
S,SCE,0.1,nv,bkl,260.0,0.04812141402924301
S,SCE,0.1,nv,mel,915.0,0.1693503609106052
S,SCE,0.1,nv,bcc,212.0,0.03923746066999815
S,SCE,0.1,nv,akiec,193.0,0.035720895798630393
S,SCE,0.1,nv,vasc,439.0,0.08125115676476032
S,SCE,0.1,nv,df,332.0,0.06144734406811031
S,SCE,0.1,bkl,nv,35.0,0.048143053645116916
S,SCE,0.1,bkl,bkl,359.0,0.4938101788170564
S,SCE,0.1,bkl,mel,120.0,0.16506189821182943
S,SCE,0.1,bkl,bcc,49.0,0.06740027510316368
S,SCE,0.1,bkl,akiec,126.0,0.1733149931224209
S,SCE,0.1,bkl,vasc,10.0,0.013755158184319119
S,SCE,0.1,bkl,df,28.0,0.03851444291609354
S,SCE,0.1,mel,nv,28.0,0.04560260586319218
S,SCE,0.1,mel,bkl,74.0,0.12052117263843648
S,SCE,0.1,mel,mel,369.0,0.6009771986970684
S,SCE,0.1,mel,bcc,41.0,0.06677524429967427
S,SCE,0.1,mel,akiec,81.0,0.13192182410423453
S,SCE,0.1,mel,vasc,6.0,0.009771986970684038
S,SCE,0.1,mel,df,15.0,0.024429967426710098
S,SCE,0.1,bcc,nv,1.0,0.0030581039755351682
S,SCE,0.1,bcc,bkl,14.0,0.04281345565749235
S,SCE,0.1,bcc,mel,7.0,0.021406727828746176
S,SCE,0.1,bcc,bcc,230.0,0.7033639143730887
S,SCE,0.1,bcc,akiec,57.0,0.1743119266055046
S,SCE,0.1,bcc,vasc,4.0,0.012232415902140673
S,SCE,0.1,bcc,df,14.0,0.04281345565749235
S,SCE,0.1,akiec,nv,2.0,0.008771929824561403
S,SCE,0.1,akiec,bkl,23.0,0.10087719298245613
S,SCE,0.1,akiec,mel,16.0,0.07017543859649122
S,SCE,0.1,akiec,bcc,31.0,0.13596491228070176
S,SCE,0.1,akiec,akiec,148.0,0.6491228070175439
S,SCE,0.1,akiec,vasc,1.0,0.0043859649122807015
S,SCE,0.1,akiec,df,7.0,0.03070175438596491
S,SCE,0.1,vasc,nv,0.0,0.0
S,SCE,0.1,vasc,bkl,1.0,0.01020408163265306
S,SCE,0.1,vasc,mel,1.0,0.01020408163265306
S,SCE,0.1,vasc,bcc,12.0,0.12244897959183673
S,SCE,0.1,vasc,akiec,2.0,0.02040816326530612
S,SCE,0.1,vasc,vasc,79.0,0.8061224489795918
S,SCE,0.1,vasc,df,3.0,0.030612244897959183
S,SCE,0.1,df,nv,2.0,0.0273972602739726
S,SCE,0.1,df,bkl,8.0,0.1095890410958904
S,SCE,0.1,df,mel,0.0,0.0
S,SCE,0.1,df,bcc,13.0,0.1780821917808219
S,SCE,0.1,df,akiec,7.0,0.0958904109589041
S,SCE,0.1,df,vasc,0.0,0.0
S,SCE,0.1,df,df,43.0,0.589041095890411
S,SCE,0.2,nv,nv,2242.0,0.41495465482139554
S,SCE,0.2,nv,bkl,321.0,0.05941143808995003
S,SCE,0.2,nv,mel,1087.0,0.20118452711456597
S,SCE,0.2,nv,bcc,331.0,0.061262261706459376
S,SCE,0.2,nv,akiec,244.0,0.04516009624282806
S,SCE,0.2,nv,vasc,641.0,0.11863779381824913
S,SCE,0.2,nv,df,537.0,0.09938922820655191
S,SCE,0.2,bkl,nv,18.0,0.024759284731774415
S,SCE,0.2,bkl,bkl,359.0,0.4938101788170564
S,SCE,0.2,bkl,mel,106.0,0.14580467675378267
S,SCE,0.2,bkl,bcc,56.0,0.07702888583218707
S,SCE,0.2,bkl,akiec,137.0,0.18844566712517194
S,SCE,0.2,bkl,vasc,12.0,0.016506189821182942
S,SCE,0.2,bkl,df,39.0,0.05364511691884457
S,SCE,0.2,mel,nv,18.0,0.029315960912052116
S,SCE,0.2,mel,bkl,82.0,0.13355048859934854
S,SCE,0.2,mel,mel,367.0,0.5977198697068404
S,SCE,0.2,mel,bcc,39.0,0.06351791530944625
S,SCE,0.2,mel,akiec,84.0,0.13680781758957655
S,SCE,0.2,mel,vasc,7.0,0.011400651465798045
S,SCE,0.2,mel,df,17.0,0.02768729641693811
S,SCE,0.2,bcc,nv,0.0,0.0
S,SCE,0.2,bcc,bkl,7.0,0.021406727828746176
S,SCE,0.2,bcc,mel,7.0,0.021406727828746176
S,SCE,0.2,bcc,bcc,245.0,0.7492354740061162
S,SCE,0.2,bcc,akiec,48.0,0.14678899082568808
S,SCE,0.2,bcc,vasc,8.0,0.024464831804281346
S,SCE,0.2,bcc,df,12.0,0.03669724770642202
S,SCE,0.2,akiec,nv,0.0,0.0
S,SCE,0.2,akiec,bkl,16.0,0.07017543859649122
S,SCE,0.2,akiec,mel,11.0,0.04824561403508772
S,SCE,0.2,akiec,bcc,43.0,0.18859649122807018
S,SCE,0.2,akiec,akiec,148.0,0.6491228070175439
S,SCE,0.2,akiec,vasc,2.0,0.008771929824561403
S,SCE,0.2,akiec,df,8.0,0.03508771929824561
S,SCE,0.2,vasc,nv,3.0,0.030612244897959183
S,SCE,0.2,vasc,bkl,2.0,0.02040816326530612
S,SCE,0.2,vasc,mel,1.0,0.01020408163265306
S,SCE,0.2,vasc,bcc,8.0,0.08163265306122448
S,SCE,0.2,vasc,akiec,2.0,0.02040816326530612
S,SCE,0.2,vasc,vasc,80.0,0.8163265306122449
S,SCE,0.2,vasc,df,2.0,0.02040816326530612
S,SCE,0.2,df,nv,1.0,0.0136986301369863
S,SCE,0.2,df,bkl,6.0,0.0821917808219178
S,SCE,0.2,df,mel,0.0,0.0
S,SCE,0.2,df,bcc,11.0,0.1506849315068493
S,SCE,0.2,df,akiec,7.0,0.0958904109589041
S,SCE,0.2,df,vasc,0.0,0.0
S,SCE,0.2,df,df,48.0,0.6575342465753424
S,SCE,0.3,nv,nv,1637.0,0.30297982602258006
S,SCE,0.3,nv,bkl,361.0,0.06681473255598741
S,SCE,0.3,nv,mel,1175.0,0.21747177493984823
S,SCE,0.3,nv,bcc,396.0,0.07329261521377013
S,SCE,0.3,nv,akiec,322.0,0.059596520451600965
S,SCE,0.3,nv,vasc,813.0,0.1504719600222099
S,SCE,0.3,nv,df,699.0,0.12937257079400333
S,SCE,0.3,bkl,nv,19.0,0.026134800550206328
S,SCE,0.3,bkl,bkl,305.0,0.4195323246217332
S,SCE,0.3,bkl,mel,100.0,0.1375515818431912
S,SCE,0.3,bkl,bcc,68.0,0.09353507565337002
S,SCE,0.3,bkl,akiec,177.0,0.24346629986244842
S,SCE,0.3,bkl,vasc,14.0,0.01925722145804677
S,SCE,0.3,bkl,df,44.0,0.06052269601100413
S,SCE,0.3,mel,nv,13.0,0.021172638436482084
S,SCE,0.3,mel,bkl,97.0,0.15798045602605862
S,SCE,0.3,mel,mel,304.0,0.495114006514658
S,SCE,0.3,mel,bcc,48.0,0.0781758957654723
S,SCE,0.3,mel,akiec,110.0,0.1791530944625407
S,SCE,0.3,mel,vasc,13.0,0.021172638436482084
S,SCE,0.3,mel,df,29.0,0.04723127035830619
S,SCE,0.3,bcc,nv,0.0,0.0
S,SCE,0.3,bcc,bkl,7.0,0.021406727828746176
S,SCE,0.3,bcc,mel,4.0,0.012232415902140673
S,SCE,0.3,bcc,bcc,229.0,0.7003058103975535
S,SCE,0.3,bcc,akiec,61.0,0.18654434250764526
S,SCE,0.3,bcc,vasc,10.0,0.03058103975535168
S,SCE,0.3,bcc,df,16.0,0.04892966360856269
S,SCE,0.3,akiec,nv,0.0,0.0
S,SCE,0.3,akiec,bkl,18.0,0.07894736842105263
S,SCE,0.3,akiec,mel,5.0,0.021929824561403508
S,SCE,0.3,akiec,bcc,42.0,0.18421052631578946
S,SCE,0.3,akiec,akiec,150.0,0.6578947368421053
