protocol,diagnostic,method,tau,class_name,value
S,perclass_lnmr,AsyCo,0.1,mel,0.12445001674191007
S,perclass_lnmr,AsyCo,0.1,bcc,0.1573727252186552
S,perclass_lnmr,AsyCo,0.1,akiec,0.10186810568788127
S,perclass_lnmr,AsyCo,0.1,vasc,0.029691876750700275
S,perclass_lnmr,AsyCo,0.1,df,0.02777777777777778
S,perclass_lnmr,baseline,0.2,nv,0.45815400919826166
S,perclass_lnmr,baseline,0.2,bkl,0.4018459609761618
S,perclass_lnmr,baseline,0.2,mel,0.35306488668816927
S,perclass_lnmr,baseline,0.2,bcc,0.4283329227687817
S,perclass_lnmr,baseline,0.2,akiec,0.2791479214097956
S,perclass_lnmr,baseline,0.2,vasc,0.4119292904041861
S,perclass_lnmr,baseline,0.2,df,0.2626480137509549
S,perclass_lnmr,SCE,0.2,nv,0.45631173521159063
S,perclass_lnmr,SCE,0.2,bkl,0.48890814529803056
S,perclass_lnmr,SCE,0.2,mel,0.4167008700591929
S,perclass_lnmr,SCE,0.2,bcc,0.46437102893045185
S,perclass_lnmr,SCE,0.2,akiec,0.45316496825867814
S,perclass_lnmr,SCE,0.2,vasc,0.44148665398480313
S,perclass_lnmr,SCE,0.2,df,0.32068372803666917
S,perclass_lnmr,ELR,0.2,nv,0.43239428716493455
S,perclass_lnmr,ELR,0.2,bkl,0.4288676932955986
S,perclass_lnmr,ELR,0.2,mel,0.3138750628005865
S,perclass_lnmr,ELR,0.2,bcc,0.4188989389649123
S,perclass_lnmr,ELR,0.2,akiec,0.27095380572659133
S,perclass_lnmr,ELR,0.2,vasc,0.42468457749232413
S,perclass_lnmr,ELR,0.2,df,0.26252864782276547
S,perclass_lnmr,AsyCo,0.2,nv,0.2595419746851666
S,perclass_lnmr,AsyCo,0.2,bkl,0.2651478412256748
S,perclass_lnmr,AsyCo,0.2,mel,0.15267324840386276
S,perclass_lnmr,AsyCo,0.2,bcc,0.2081790804512838
S,perclass_lnmr,AsyCo,0.2,akiec,0.09287223291459493
S,perclass_lnmr,AsyCo,0.2,vasc,0.02657004830917874
S,perclass_lnmr,AsyCo,0.2,df,0.12382066462948815
S,perclass_lnmr,baseline,0.3,nv,0.3967636087787847
S,perclass_lnmr,baseline,0.3,bkl,0.3762231110510078
S,perclass_lnmr,baseline,0.3,mel,0.3659001071587247
S,perclass_lnmr,baseline,0.3,bcc,0.42655552977817174
S,perclass_lnmr,baseline,0.3,akiec,0.267207091117054
S,perclass_lnmr,baseline,0.3,vasc,0.36840363563497747
S,perclass_lnmr,baseline,0.3,df,0.25962421204526465
S,perclass_lnmr,SCE,0.3,nv,0.4565369607649443
S,perclass_lnmr,SCE,0.3,bkl,0.46268767797631327
S,perclass_lnmr,SCE,0.3,mel,0.4360484254370296
S,perclass_lnmr,SCE,0.3,bcc,0.4606405681578619
S,perclass_lnmr,SCE,0.3,akiec,0.4149865221598009
S,perclass_lnmr,SCE,0.3,vasc,0.3868770808009393
S,perclass_lnmr,SCE,0.3,df,0.34037890179995445
S,perclass_lnmr,ELR,0.3,nv,0.3624484442111454
S,perclass_lnmr,ELR,0.3,bkl,0.38361931015925677
S,perclass_lnmr,ELR,0.3,mel,0.3566859985892429
S,perclass_lnmr,ELR,0.3,bcc,0.4213112124503013
S,perclass_lnmr,ELR,0.3,akiec,0.2725380337769649
S,perclass_lnmr,ELR,0.3,vasc,0.3477373325551017
S,perclass_lnmr,ELR,0.3,df,0.2501489329384066
S,perclass_lnmr,AsyCo,0.3,nv,0.23834363822240862
S,perclass_lnmr,AsyCo,0.3,bkl,0.2793431202161339
S,perclass_lnmr,AsyCo,0.3,mel,0.16486790127116455
S,perclass_lnmr,AsyCo,0.3,bcc,0.23166121266861134
S,perclass_lnmr,AsyCo,0.3,akiec,0.07507704033526424
S,perclass_lnmr,AsyCo,0.3,vasc,0.03992555443776428
S,perclass_lnmr,AsyCo,0.3,df,0.14395450748082328
S,perclass_lnmr,baseline,0.4,nv,0.3612609906540182
S,perclass_lnmr,baseline,0.4,bkl,0.3538344263321187
S,perclass_lnmr,baseline,0.4,mel,0.38648152099816835
S,perclass_lnmr,baseline,0.4,bcc,0.3750094637438667
S,perclass_lnmr,baseline,0.4,akiec,0.24342233658129864
S,perclass_lnmr,baseline,0.4,vasc,0.3253847472966721
S,perclass_lnmr,baseline,0.4,df,0.33252040092479695
S,perclass_lnmr,SCE,0.4,nv,0.4953052608115889
S,perclass_lnmr,SCE,0.4,bkl,0.4274388977081583
S,perclass_lnmr,SCE,0.4,mel,0.4538078370226925
S,perclass_lnmr,SCE,0.4,bcc,0.4013177154219581
S,perclass_lnmr,SCE,0.4,akiec,0.35538482031173974
S,perclass_lnmr,SCE,0.4,vasc,0.35520038638892054
S,perclass_lnmr,SCE,0.4,df,0.3729490665203146
S,perclass_lnmr,ELR,0.4,nv,0.3243290761748554
S,perclass_lnmr,ELR,0.4,bkl,0.3708389317335531
S,perclass_lnmr,ELR,0.4,mel,0.3550481013794359
S,perclass_lnmr,ELR,0.4,bcc,0.37970330805692126
S,perclass_lnmr,ELR,0.4,akiec,0.23887074608208528
S,perclass_lnmr,ELR,0.4,vasc,0.34134651150563394
S,perclass_lnmr,ELR,0.4,df,0.3182812951192767
S,perclass_lnmr,AsyCo,0.4,nv,0.23222069993681962
S,perclass_lnmr,AsyCo,0.4,bkl,0.2716715985686886
S,perclass_lnmr,AsyCo,0.4,mel,0.16641960006477197
S,perclass_lnmr,AsyCo,0.4,bcc,0.2081329462026174
S,perclass_lnmr,AsyCo,0.4,akiec,0.10126574509213015
S,perclass_lnmr,AsyCo,0.4,vasc,0.04864242777603511
S,perclass_lnmr,AsyCo,0.4,df,0.23368039794006035
S,perclass_lnmr,baseline,0.5,nv,0.3109719147693589
S,perclass_lnmr,baseline,0.5,bkl,0.34066717015493453
S,perclass_lnmr,baseline,0.5,mel,0.36863525785495016
S,perclass_lnmr,baseline,0.5,bcc,0.3499973423838696
S,perclass_lnmr,baseline,0.5,akiec,0.21345881027357425
S,perclass_lnmr,baseline,0.5,vasc,0.3138774806402247
S,perclass_lnmr,baseline,0.5,df,0.2924084406815211
S,perclass_lnmr,SCE,0.5,nv,0.5060740706882129
S,perclass_lnmr,SCE,0.5,bkl,0.4031227167755512
S,perclass_lnmr,SCE,0.5,mel,0.4378770550515275
S,perclass_lnmr,SCE,0.5,bcc,0.3774632899362245
S,perclass_lnmr,SCE,0.5,akiec,0.31576060838747827
S,perclass_lnmr,SCE,0.5,vasc,0.33574745463785827
S,perclass_lnmr,SCE,0.5,df,0.3167728166443374
S,perclass_lnmr,ELR,0.5,nv,0.2825075739171305
S,perclass_lnmr,ELR,0.5,bkl,0.3363633770293527
S,perclass_lnmr,ELR,0.5,mel,0.3435644323575665
S,perclass_lnmr,ELR,0.5,bcc,0.3533997216542314
S,perclass_lnmr,ELR,0.5,akiec,0.21492208923087924
S,perclass_lnmr,ELR,0.5,vasc,0.3276055492619104
S,perclass_lnmr,ELR,0.5,df,0.3067597991110717
S,perclass_lnmr,AsyCo,0.5,nv,0.2171733008194429
S,perclass_lnmr,AsyCo,0.5,bkl,0.25467638470917386
S,perclass_lnmr,AsyCo,0.5,mel,0.15524456297344744
S,perclass_lnmr,AsyCo,0.5,bcc,0.1978366850394707
S,perclass_lnmr,AsyCo,0.5,akiec,0.09713236410848182
S,perclass_lnmr,AsyCo,0.5,vasc,0.0689693738458284
S,perclass_lnmr,AsyCo,0.5,df,0.2098009771449909
SP,perclass_f1,baseline,0.0,nv,0.7623853610452878
SP,perclass_f1,baseline,0.0,bkl,0.5585845244918742
SP,perclass_f1,baseline,0.0,mel,0.395214267110199
SP,perclass_f1,baseline,0.0,bcc,0.641457793782299
SP,perclass_f1,baseline,0.0,akiec,0.4599703597850608
SP,perclass_f1,baseline,0.0,vasc,0.6565164352642815
SP,perclass_f1,baseline,0.0,df,0.3660954429202511
SP,perclass_f1,SCE,0.0,nv,0.9148619299595137
