protocol,method,tau,fold,nta,lnmr,residual
A,ELR,0.3,8,0.0854572713643178,0.3228385807096451,0.5917041479260371
A,ELR,0.3,9,0.0944333996023856,0.3558648111332008,0.5497017892644136
A,ELR,0.4,0,0.0818491852974611,0.29973474801061,0.618416066691929
A,ELR,0.4,1,0.0787746170678337,0.299781181619256,0.6214442013129102
A,ELR,0.4,2,0.0862595419847328,0.3125954198473282,0.601145038167939
A,ELR,0.4,3,0.073170731707317,0.2978566149297856,0.6289726533628974
A,ELR,0.4,4,0.0724582701062215,0.302731411229135,0.6248103186646434
A,ELR,0.4,5,0.0748980348535409,0.2658509454949944,0.6592510196514647
A,ELR,0.4,6,0.0816100443131462,0.2950516986706056,0.6233382570162482
A,ELR,0.4,7,0.0734570238546005,0.284361984096933,0.6421809920484665
A,ELR,0.4,8,0.0803703703703703,0.3003703703703703,0.6192592592592594
A,ELR,0.4,9,0.0746825989544436,0.2804331590739358,0.6448842419716205
A,ELR,0.5,0,0.0598496240601503,0.225563909774436,0.7145864661654138
A,ELR,0.5,1,0.0717619603267211,0.2648774795799299,0.663360560093349
A,ELR,0.5,2,0.0732292917166866,0.2785114045618247,0.6482593037214888
A,ELR,0.5,3,0.070154577883472,0.2410820451843044,0.6887633769322236
A,ELR,0.5,4,0.0660462323626538,0.2797958570999699,0.6541579105373763
A,ELR,0.5,5,0.0729970326409495,0.2593471810089021,0.6676557863501484
A,ELR,0.5,6,0.0736250739207569,0.2643406268480189,0.6620342992312243
A,ELR,0.5,7,0.0696758558012723,0.2511360193880642,0.6791881248106635
A,ELR,0.5,8,0.0713859020310633,0.2825567502986857,0.6460573476702509
A,ELR,0.5,9,0.0685834082060497,0.2779275232105421,0.6534890685834083
A,SCE,0.0,0,,,
A,SCE,0.0,1,,,
A,SCE,0.0,2,,,
A,SCE,0.0,3,,,
A,SCE,0.0,4,,,
A,SCE,0.0,5,,,
A,SCE,0.0,6,,,
A,SCE,0.0,7,,,
A,SCE,0.0,8,,,
A,SCE,0.0,9,,,
A,SCE,0.1,0,0.3773364485981308,0.3598130841121495,0.2628504672897197
A,SCE,0.1,1,0.4401408450704225,0.3873239436619718,0.17253521126760568
A,SCE,0.1,2,0.4013840830449827,0.4244521337946944,0.174163783160323
A,SCE,0.1,3,0.4510035419126328,0.3778040141676505,0.17119244391971666
A,SCE,0.1,4,0.4207317073170731,0.3780487804878049,0.20121951219512202
A,SCE,0.1,5,0.3824228028503563,0.3871733966745843,0.23040380047505948
A,SCE,0.1,6,0.4105504587155963,0.3795871559633027,0.2098623853211009
A,SCE,0.1,7,0.3886363636363636,0.3829545454545454,0.22840909090909095
A,SCE,0.1,8,0.4144144144144144,0.3795045045045045,0.20608108108108109
A,SCE,0.1,9,0.3652275379229872,0.3850641773628938,0.249708284714119
A,SCE,0.2,0,0.2885857860732232,0.4235463029432879,0.28786791098348885
A,SCE,0.2,1,0.3618705035971223,0.3856115107913669,0.25251798561151073
A,SCE,0.2,2,0.319164265129683,0.4063400576368876,0.27449567723342944
A,SCE,0.2,3,0.3498154981549815,0.3867158671586715,0.263468634686347
A,SCE,0.2,4,0.3149253731343283,0.3902985074626866,0.2947761194029852
A,SCE,0.2,5,0.3602347762289068,0.3727072633895818,0.2670579603815113
A,SCE,0.2,6,0.309506790564689,0.3724088634739099,0.3180843459614011
